dhis2_facility_uid,dhis2_facility_name,dhis2_subcounty_uid,dhis2_subcounty_name,dhis2_district_uid,dhis2_district_name,dhis2_region
aCGaJx85MR6,Wilela HC II,hd0kmWrpBLA,Magamaga Subcounty (Abim Subcounty),NREoMszwQZW,Abim District,Karamoja
hvtKTUxWNrt,Adjumani Hospital,AABKGoyjpm2,Adjumani Town Council,QYiQ2KqgCxj,Adjumani District,West Nile
aoqEF4fUP18,Adjumani Mission HC III,AABKGoyjpm2,Adjumani Town Council,QYiQ2KqgCxj,Adjumani District,West Nile
mZWFol2c0sc,Adjumani Police HC II,AABKGoyjpm2,Adjumani Town Council,QYiQ2KqgCxj,Adjumani District,West Nile
UTC3IbJUl4K,Adjumani Prisons HC II,fSyCcycKdSl,Adropi Subcounty,QYiQ2KqgCxj,Adjumani District,West Nile
a8NfqlGUC18,Agojo HC II,xiFyzChOvlR,Ciforo Subcounty,QYiQ2KqgCxj,Adjumani District,West Nile
OLccBxRpUXk,Ajeri HC II,uWXVoMSOy5v,Itirikwa Subcounty,QYiQ2KqgCxj,Adjumani District,West Nile
EP9BtvXaTsa,Ajugopi HC II,AbV5pHHSFTU,Dzaipi Subcounty,QYiQ2KqgCxj,Adjumani District,West Nile
COA705FeCbj,Alere HC II,xEGUTFJd2LB,Pachara Subcounty,QYiQ2KqgCxj,Adjumani District,West Nile
UBVFS5BQ6Jx,Aliwara HC II,uWXVoMSOy5v,Itirikwa Subcounty,QYiQ2KqgCxj,Adjumani District,West Nile
ulySYf4TNaX,Anzoa Medical Bureau HC III,AABKGoyjpm2,Adjumani Town Council,QYiQ2KqgCxj,Adjumani District,West Nile
ZqulrZsthYs,Apaa (Itirikwa) HC II,uWXVoMSOy5v,Itirikwa Subcounty,QYiQ2KqgCxj,Adjumani District,West Nile
N5esn50m6Il,Arinyapi HC III,ZCER8MJ2DeP,Arinyapi Subcounty,QYiQ2KqgCxj,Adjumani District,West Nile
F4phb7m6hiz,Arra HC II,xEGUTFJd2LB,Pachara Subcounty,QYiQ2KqgCxj,Adjumani District,West Nile
DID38FOFn2W,Ayilo I HC III,kRF4X846xVW,Pakele Subcounty,QYiQ2KqgCxj,Adjumani District,West Nile
k2QmjF7hYgF,Ayilo II HC II,kRF4X846xVW,Pakele Subcounty,QYiQ2KqgCxj,Adjumani District,West Nile
x1hIfQqbZdF,Ayiri HC III,GuJonnL9KkC,Ukusijoni Subcounty,QYiQ2KqgCxj,Adjumani District,West Nile
atv0z4e9m8B,Bira HC III,kRF4X846xVW,Pakele Subcounty,QYiQ2KqgCxj,Adjumani District,West Nile
Y0XE9vH5Oeg,Ciforo HC III,xiFyzChOvlR,Ciforo Subcounty,QYiQ2KqgCxj,Adjumani District,West Nile
nluAOPgAJfN,Discovery Medical Center,AABKGoyjpm2,Adjumani Town Council,QYiQ2KqgCxj,Adjumani District,West Nile
Krxa01FAxdW,Dzaipi HC III,AbV5pHHSFTU,Dzaipi Subcounty,QYiQ2KqgCxj,Adjumani District,West Nile
zX0wfeEc8th,Elegu HC II,ZCER8MJ2DeP,Arinyapi Subcounty,QYiQ2KqgCxj,Adjumani District,West Nile
O4KQDQzBA9s,Elema HC II,AbV5pHHSFTU,Dzaipi Subcounty,QYiQ2KqgCxj,Adjumani District,West Nile
CBoebDYoYUB,Global Medical Clinics,AABKGoyjpm2,Adjumani Town Council,QYiQ2KqgCxj,Adjumani District,West Nile
D0UZnEzE4Am,Kristo Medical and Diagnostic Centre Adjumani,AABKGoyjpm2,Adjumani Town Council,QYiQ2KqgCxj,Adjumani District,West Nile
x14PIFWlmxx,Kureku HC II,azZk0TJOe3j,Ofua Subcounty,QYiQ2KqgCxj,Adjumani District,West Nile
FMgSYqDsfT6,Lewa HC II,kRF4X846xVW,Pakele Subcounty,QYiQ2KqgCxj,Adjumani District,West Nile
Lq5bORbEZDi,Maaji A HC II,GuJonnL9KkC,Ukusijoni Subcounty,QYiQ2KqgCxj,Adjumani District,West Nile
zSzd5o81wtt,Maaji B HC II,GuJonnL9KkC,Ukusijoni Subcounty,QYiQ2KqgCxj,Adjumani District,West Nile
ERjm7RCCUZG,Maaji C HC II,GuJonnL9KkC,Ukusijoni Subcounty,QYiQ2KqgCxj,Adjumani District,West Nile
VHssBVWOVqQ,Magburu HC II,xiFyzChOvlR,Ciforo Subcounty,QYiQ2KqgCxj,Adjumani District,West Nile
ytpNGyNQyIv,Maryland Kocoa HC III,kRF4X846xVW,Pakele Subcounty,QYiQ2KqgCxj,Adjumani District,West Nile
a9ai8OVQ4ET,Mungula HC IV,uWXVoMSOy5v,Itirikwa Subcounty,QYiQ2KqgCxj,Adjumani District,West Nile
uIRn3j4IZdi,New Life Clinic,AABKGoyjpm2,Adjumani Town Council,QYiQ2KqgCxj,Adjumani District,West Nile
RHkry0Pxk7e,Nyumanzi HC III,AbV5pHHSFTU,Dzaipi Subcounty,QYiQ2KqgCxj,Adjumani District,West Nile
xjvcw4ygnRy,Obilokongo HC II,fSyCcycKdSl,Adropi Subcounty,QYiQ2KqgCxj,Adjumani District,West Nile
BSrrPPLiBZo,Ofua (Ofua) HC III,azZk0TJOe3j,Ofua Subcounty,QYiQ2KqgCxj,Adjumani District,West Nile
yWr81raAy6g,Ogolo HC II,ZCER8MJ2DeP,Arinyapi Subcounty,QYiQ2KqgCxj,Adjumani District,West Nile
OsXGo2furEb,Olia HC II,kRF4X846xVW,Pakele Subcounty,QYiQ2KqgCxj,Adjumani District,West Nile
J1bAaHJwcR6,Olia Prison HC II,kRF4X846xVW,Pakele Subcounty,QYiQ2KqgCxj,Adjumani District,West Nile
Ou84k4CKFRi,Opejo HC II,xiFyzChOvlR,Ciforo Subcounty,QYiQ2KqgCxj,Adjumani District,West Nile
SydoosT4IoO,Openzinzi HC III,fSyCcycKdSl,Adropi Subcounty,QYiQ2KqgCxj,Adjumani District,West Nile
qSb1CxxiAGH,Pachara HC II,xEGUTFJd2LB,Pachara Subcounty,QYiQ2KqgCxj,Adjumani District,West Nile
hmL6fXhBwaS,Pagirinya HC III,AbV5pHHSFTU,Dzaipi Subcounty,QYiQ2KqgCxj,Adjumani District,West Nile
ngXa86YfOBc,Pagirinya Health Post HC II,AbV5pHHSFTU,Dzaipi Subcounty,QYiQ2KqgCxj,Adjumani District,West Nile
LhNgo4n9Wi9,Pakele HC III,kRF4X846xVW,Pakele Subcounty,QYiQ2KqgCxj,Adjumani District,West Nile
WqIepqF88WC,Reproductive Health Uganda HC II,AABKGoyjpm2,Adjumani Town Council,QYiQ2KqgCxj,Adjumani District,West Nile
V8su3RPXsiK,Robidire HC III,xEGUTFJd2LB,Pachara Subcounty,QYiQ2KqgCxj,Adjumani District,West Nile
cA5gjRGc1aF,St. Joseph's Clinic Adjumani,AABKGoyjpm2,Adjumani Town Council,QYiQ2KqgCxj,Adjumani District,West Nile
GLzzJWQkpk1,Uderu HC II,xEGUTFJd2LB,Pachara Subcounty,QYiQ2KqgCxj,Adjumani District,West Nile
Mq6H4E2PlH7,Ukusijoni HC III,GuJonnL9KkC,Ukusijoni Subcounty,QYiQ2KqgCxj,Adjumani District,West Nile
TPbpO1shn32,Victoria Medical Clinic,AABKGoyjpm2,Adjumani Town Council,QYiQ2KqgCxj,Adjumani District,West Nile
wns9cdnRqOs,Viena Medical Centre Adjumani,AABKGoyjpm2,Adjumani Town Council,QYiQ2KqgCxj,Adjumani District,West Nile
BAl377s28jZ,Zoka HC II,uWXVoMSOy5v,Itirikwa Subcounty,QYiQ2KqgCxj,Adjumani District,West Nile
aGfndLfPcOz,Abilonino HC II,qUDCFxUq4uw,Lapono Subcounty,ztIyIYAzFKp,Agago District,Acholi
aKoVWgIufTx,Acholpii HC III,y2tqwpJlSZd,Arum Subcounty,ztIyIYAzFKp,Agago District,Acholi
wLkwoyLOOZe,Acuru HC II,pH004BIak3K,Lira Palwo Subcounty,ztIyIYAzFKp,Agago District,Acholi
FvewOonC8lS,Adilang HC III,FihNC5KfGJV,Adilang Subcounty,ztIyIYAzFKp,Agago District,Acholi
pUeR6j03GhJ,Alop HC II,FihNC5KfGJV,Adilang Subcounty,ztIyIYAzFKp,Agago District,Acholi
DjuTQL7H5ck,Amyel HC II,qUDCFxUq4uw,Lapono Subcounty,ztIyIYAzFKp,Agago District,Acholi
G51dLKvQTxh,David Fagerlee's Medical Centre,FihNC5KfGJV,Adilang Subcounty,ztIyIYAzFKp,Agago District,Acholi
WgXtPbUAyJD,Geregere HC II,XAYIceYQGIl,Omot Subcounty,ztIyIYAzFKp,Agago District,Acholi
mErpRZrtmz8,Kabala HC II,gqlcWIrj9J3,Parabongo Subcounty,ztIyIYAzFKp,Agago District,Acholi
y8q1syPdfdK,Kalongo Ambrosoli Memorial Hospital,RXwynIETRuW,Kalongo Town Council,ztIyIYAzFKp,Agago District,Acholi
ASNnd0et215,Kokil HC II,zzl9JUHMQY1,Paimol Subcounty,ztIyIYAzFKp,Agago District,Acholi
xErihzThO6h,Kotomor HC III,nmK9yk0kjmP,Kotomor Subcounty,ztIyIYAzFKp,Agago District,Acholi
TTIgbcijnJz,Kuywee HC II,EJCiKQCS6WT,Wol Subcounty,ztIyIYAzFKp,Agago District,Acholi
fIGI5AZsJHF,Kwonkic HC II,QpcgX2e3WIK,Lamiyo Subcounty,ztIyIYAzFKp,Agago District,Acholi
gEJIdy608EI,Lamiyo HC II,QpcgX2e3WIK,Lamiyo Subcounty,ztIyIYAzFKp,Agago District,Acholi
o919aB1NWyq,Lanyirinyiri HC II,pH004BIak3K,Lira Palwo Subcounty,ztIyIYAzFKp,Agago District,Acholi
FHLViw9IqR6,Lapirin HC III,d7O2HPDA9UV,Lukole Subcounty,ztIyIYAzFKp,Agago District,Acholi
gvwYnobdOdM,Layita HC II,Lv7IX3Xxutv,Omiya Pachwa Subcounty,ztIyIYAzFKp,Agago District,Acholi
h0zUXZyCyJL,Ligiligi HC II,FihNC5KfGJV,Adilang Subcounty,ztIyIYAzFKp,Agago District,Acholi
pBrduMkhHQy,Lira Kaket HC II,qUDCFxUq4uw,Lapono Subcounty,ztIyIYAzFKp,Agago District,Acholi
a9ZI6jNBqXx,Lira Kato HC III,qUDCFxUq4uw,Lapono Subcounty,ztIyIYAzFKp,Agago District,Acholi
aNM5X9P50rl,Lira Palwo HC III,pH004BIak3K,Lira Palwo Subcounty,ztIyIYAzFKp,Agago District,Acholi
RHk4V3ZlFbx,Lukole HC III,lhKxF8mfub4,Agago Town Council,ztIyIYAzFKp,Agago District,Acholi
cPeDqm6vYHn,Obolokome (Lira) HC II,pH004BIak3K,Lira Palwo Subcounty,ztIyIYAzFKp,Agago District,Acholi
s21e0ARLfsE,Odokomit HC II,nmK9yk0kjmP,Kotomor Subcounty,ztIyIYAzFKp,Agago District,Acholi
ifSPcuzT8Iw,Ogwang Kamolo HC II,qUDCFxUq4uw,Lapono Subcounty,ztIyIYAzFKp,Agago District,Acholi
fN5JzGLE8gv,Okwadoko HC II,EJCiKQCS6WT,Wol Subcounty,ztIyIYAzFKp,Agago District,Acholi
zfMY9GBN26I,Olung HC II,d7O2HPDA9UV,Lukole Subcounty,ztIyIYAzFKp,Agago District,Acholi
p1eA0ghuSyR,Omiya Pacwa HC II,Lv7IX3Xxutv,Omiya Pachwa Subcounty,ztIyIYAzFKp,Agago District,Acholi
GzIVh9blxSN,Omot HC II,XAYIceYQGIl,Omot Subcounty,ztIyIYAzFKp,Agago District,Acholi
ajeoW3M1Tvm,Ongalo HC II,qUDCFxUq4uw,Lapono Subcounty,ztIyIYAzFKp,Agago District,Acholi
eVHfL3dqKR5,Onudapet HC II,nmK9yk0kjmP,Kotomor Subcounty,ztIyIYAzFKp,Agago District,Acholi
JICsD1QzzeJ,Opyelo HC III,tlIMKbS5bmI,Patongo Subcounty,ztIyIYAzFKp,Agago District,Acholi
CYCMFtMgnfI,Orina HC II,FihNC5KfGJV,Adilang Subcounty,ztIyIYAzFKp,Agago District,Acholi
QaoM6583QZW,Otumpili HC II,d7O2HPDA9UV,Lukole Subcounty,ztIyIYAzFKp,Agago District,Acholi
w9mcV8YwoKa,Pacer HC II,gqlcWIrj9J3,Parabongo Subcounty,ztIyIYAzFKp,Agago District,Acholi
RM8vegpr7j7,Paimol HC III,zzl9JUHMQY1,Paimol Subcounty,ztIyIYAzFKp,Agago District,Acholi
err2diilQ8C,Pakor HC II,gqlcWIrj9J3,Parabongo Subcounty,ztIyIYAzFKp,Agago District,Acholi
oUcwyNtRzrb,Patongo HC III,SE5V8TUKQnZ,Patongo Town Council,ztIyIYAzFKp,Agago District,Acholi
AbQGl8CrhXH,Patongo Prison HC II,SE5V8TUKQnZ,Patongo Town Council,ztIyIYAzFKp,Agago District,Acholi
ldVk8civU6m,St. Janani HC II,pH004BIak3K,Lira Palwo Subcounty,ztIyIYAzFKp,Agago District,Acholi
IOuCAfFo6J4,Toroma HC II,EJCiKQCS6WT,Wol Subcounty,ztIyIYAzFKp,Agago District,Acholi
qOIHRAbHyeu,Wol HC III,EJCiKQCS6WT,Wol Subcounty,ztIyIYAzFKp,Agago District,Acholi
yDPmjwoOIxi,Abako HC III,i8gkuINdorl,Abako Subcounty,p7EEgDEX3jT,Alebtong District,Lango
etPrOnArvd1,Abako-Elim HC II,RHEU4J1wJiy,Awei Subcounty,p7EEgDEX3jT,Alebtong District,Lango
SNwc1CQIXTN,Abia HC II (Abia Subcounty),jM15KbiS4KY,Abia Subcounty,p7EEgDEX3jT,Alebtong District,Lango
klwx6rSe63o,Adwir HC II,VvSRAEcdc5o,Omoro Subcounty,p7EEgDEX3jT,Alebtong District,Lango
zkvmBd2YoxG,Akura HC II,asCoXu0PHpL,Akura Subcounty,p7EEgDEX3jT,Alebtong District,Lango
pk373UmcJEF,Alanyi HC III,i8gkuINdorl,Abako Subcounty,p7EEgDEX3jT,Alebtong District,Lango
RdmsO9Kftg9,Alebtong HC IV,OEs6pwU0Lxe,Alebtong Town Council,p7EEgDEX3jT,Alebtong District,Lango
CDfpt3qoQui,Alebtong Prison HC II,OEs6pwU0Lxe,Alebtong Town Council,p7EEgDEX3jT,Alebtong District,Lango
taqtXzzxCQm,Alelluyah Joint Maternity Clinic,khzscd51sFY,Aloi Subcounty,p7EEgDEX3jT,Alebtong District,Lango
q2vSqN5xoZL,Aloi Mission HC III,asCoXu0PHpL,Akura Subcounty,p7EEgDEX3jT,Alebtong District,Lango
acBVtDN7cmd,Amugu HC III,ObP05tDjGoW,Amugo Subcounty,p7EEgDEX3jT,Alebtong District,Lango
NrUmuqO5ggm,Anara HC II,khzscd51sFY,Aloi Subcounty,p7EEgDEX3jT,Alebtong District,Lango
c5ebeykuexn,Angetta HC III,VvSRAEcdc5o,Omoro Subcounty,p7EEgDEX3jT,Alebtong District,Lango
aUSFthg4pyX,Anyanga HC II,asCoXu0PHpL,Akura Subcounty,p7EEgDEX3jT,Alebtong District,Lango
AKNaO98uuZO,Apala HC III,aizpwKYoKtN,Apala Subcounty,p7EEgDEX3jT,Alebtong District,Lango
aUjs9UBFWGB,Awei HC III,RHEU4J1wJiy,Awei Subcounty,p7EEgDEX3jT,Alebtong District,Lango
FkHL59DWIav,Obim HC II,aizpwKYoKtN,Apala Subcounty,p7EEgDEX3jT,Alebtong District,Lango
hkxODp6OZ1E,Ocan Community Clinic,RHEU4J1wJiy,Awei Subcounty,p7EEgDEX3jT,Alebtong District,Lango
Ef6JLaKeELl,Omarari HC II,VvSRAEcdc5o,Omoro Subcounty,p7EEgDEX3jT,Alebtong District,Lango
NakSNp1eO2L,Omoro HC III,VvSRAEcdc5o,Omoro Subcounty,p7EEgDEX3jT,Alebtong District,Lango
MVYYKgICwep,Oteno HC II,jM15KbiS4KY,Abia Subcounty,p7EEgDEX3jT,Alebtong District,Lango
kBCFqr2AhTe,Acii HC II,aMOfdLbimPZ,Namasale Subcounty,ZuQHWOaFQVM,Amolatar District,Lango
OMRlmYUqpLa,Alemere Medical Aid HC II,FdQo42NAOxF,Amolatar Town Council,ZuQHWOaFQVM,Amolatar District,Lango
apxYt6pdYil,Alyecmeda HC II,eaiTceKCzoa,Agwingiri Subcounty,ZuQHWOaFQVM,Amolatar District,Lango
Zk9bvpSxThA,Amai Community Hospital,O29YQnbcXRf,Aputi Subcounty,ZuQHWOaFQVM,Amolatar District,Lango
XazfKCvCCLS,Amolatar HC IV,FdQo42NAOxF,Amolatar Town Council,ZuQHWOaFQVM,Amolatar District,Lango
m22qtODTVRv,Amolatar Prison HC II,FdQo42NAOxF,Amolatar Town Council,ZuQHWOaFQVM,Amolatar District,Lango
znkGCmU6MUG,Anamwany HC II,EQzZv91U9wT,Awelo Subcounty,ZuQHWOaFQVM,Amolatar District,Lango
XQqrn8K8jyL,Aputi HC III,O29YQnbcXRf,Aputi Subcounty,ZuQHWOaFQVM,Amolatar District,Lango
g4BgRyHMjZL,Arwotcek HC II,ZfKPEEqgxDY,Arwotcek Subcounty,ZuQHWOaFQVM,Amolatar District,Lango
n42ELOr1Eil,Awonangiro HC II,NC1BI24zrtd,Agikdak Subcounty,ZuQHWOaFQVM,Amolatar District,Lango
gK0K0TF0Nci,Biko HC II,GL0v8GPeUvF,Namasale Town Council,ZuQHWOaFQVM,Amolatar District,Lango
r4txax3dzBl,Etam HC III,y6lJEw3cXSx,Etam Town Council,ZuQHWOaFQVM,Amolatar District,Lango
amnweRXxGSV,Nakatiti HC II,fATqj07PHYr,Muntu Subcounty,ZuQHWOaFQVM,Amolatar District,Lango
QhhZ8aHXOWM,Namasale HC III,aMOfdLbimPZ,Namasale Subcounty,ZuQHWOaFQVM,Amolatar District,Lango
AfPTFLSjJiu,Pamoja Clinic,aMOfdLbimPZ,Namasale Subcounty,ZuQHWOaFQVM,Amolatar District,Lango
PGth1LJz1Ij,St. Lawrence Clinic,GL0v8GPeUvF,Namasale Town Council,ZuQHWOaFQVM,Amolatar District,Lango
QtKKTyoBfMv,Abiliyep HC III,lJWSXSCBtli,Loroo Subcounty,a8RHFdF4DXL,Amudat District,Karamoja
DXPEWHcbZwC,Achorichor HC II,lJWSXSCBtli,Loroo Subcounty,a8RHFdF4DXL,Amudat District,Karamoja
etUWDKFTBfq,Alakas HC II,B9NWy5hoq0C,Amudat Subcounty,a8RHFdF4DXL,Amudat District,Karamoja
x4W3u9puTzO,Amudat HC II,UC5oDg6aLRl,Amudat Town Council,a8RHFdF4DXL,Amudat District,Karamoja
gVSFfQXW1J2,Amudat Hospital,UC5oDg6aLRl,Amudat Town Council,a8RHFdF4DXL,Amudat District,Karamoja
LL0yj8yGUjx,Amudat Joint Clinic,UC5oDg6aLRl,Amudat Town Council,a8RHFdF4DXL,Amudat District,Karamoja
m8Gp4sDZ9YT,Cheptapoyo HC II,WCE4lL4rT73,Karita Subcounty,a8RHFdF4DXL,Amudat District,Karamoja
UdwbvvdzVVQ,Karita HC III,WCE4lL4rT73,Karita Subcounty,a8RHFdF4DXL,Amudat District,Karamoja
rXTikIGipQN,Katabok HC III,B9NWy5hoq0C,Amudat Subcounty,a8RHFdF4DXL,Amudat District,Karamoja
tfnU9uSEiPb,Kosike HC III,B9NWy5hoq0C,Amudat Subcounty,a8RHFdF4DXL,Amudat District,Karamoja
emjerwHdu0g,Lokales HC II,WCE4lL4rT73,Karita Subcounty,a8RHFdF4DXL,Amudat District,Karamoja
Z3lPWheXHAH,Loroo HC III,lJWSXSCBtli,Loroo Subcounty,a8RHFdF4DXL,Amudat District,Karamoja
AB3NV0mRYF7,Parents Clinic,UC5oDg6aLRl,Amudat Town Council,a8RHFdF4DXL,Amudat District,Karamoja
IswqGyDbcgm,Abarilela HC III,YjjiR3pf7GD,Abarilela Subcounty,TM6ccNxawqy,Amuria District,Teso
o7CJeTwDapk,Abeko CBO HC II,p1iOb5SBsBd,Ogolai Subcounty,TM6ccNxawqy,Amuria District,Teso
UiGav1NitiR,Abeko HC II,p1iOb5SBsBd,Ogolai Subcounty,TM6ccNxawqy,Amuria District,Teso
yZP0DwhrfR8,Abia HC II (Kuju Subcounty),lUpDen75Xj1,Kuju Subcounty,TM6ccNxawqy,Amuria District,Teso
M864p5iRGub,Adakun HC II,PNnzRWEmz8V,Orungo Subcounty,TM6ccNxawqy,Amuria District,Teso
lGdKcxEQz4E,Akeriau HC III,zLlDlWXIaK6,Akeriau Subcounty,TM6ccNxawqy,Amuria District,Teso
yV1l7X3U9ZG,Alere (Amuria) HC II,OVrhhkOMbwS,Willa Subcounty,TM6ccNxawqy,Amuria District,Teso
wz2IJXrulbx,Amilmil HC II,OVrhhkOMbwS,Willa Subcounty,TM6ccNxawqy,Amuria District,Teso
lFzxlKU9GDe,Amolo HC II,LyX5VLc9Eyz,Wera Subcounty,TM6ccNxawqy,Amuria District,Teso
N8L6gKVGOCM,Amucu HC III,fu6SGxjqBEm,Apeduru Subcounty,TM6ccNxawqy,Amuria District,Teso
ZoRb6AcV4MY,Amuria COU HC II,JvF5JZK4OIl,Amuria Town Council,TM6ccNxawqy,Amuria District,Teso
oRHreBW5Tyr,Amuria Hospital,JvF5JZK4OIl,Amuria Town Council,TM6ccNxawqy,Amuria District,Teso
cd8AJF2SV0o,Amuria Prison HC II,JvF5JZK4OIl,Amuria Town Council,TM6ccNxawqy,Amuria District,Teso
yGhoDGSeyLN,Amusus CBO HC II,lUpDen75Xj1,Kuju Subcounty,TM6ccNxawqy,Amuria District,Teso
kwd5xyrWwvO,Amusus HC III,lUpDen75Xj1,Kuju Subcounty,TM6ccNxawqy,Amuria District,Teso
VVGxBCCP2jE,Arute HC II,YjjiR3pf7GD,Abarilela Subcounty,TM6ccNxawqy,Amuria District,Teso
Sj7ljAIcmjq,Asamuk HC III,OuGhhbtALJT,Asamuk Subcounty,TM6ccNxawqy,Amuria District,Teso
RUGDBdVZ6oS,Calvary Chapel HC II,PNnzRWEmz8V,Orungo Subcounty,TM6ccNxawqy,Amuria District,Teso
FuaPeRISYBk,Kona Clinic Amuria,JvF5JZK4OIl,Amuria Town Council,TM6ccNxawqy,Amuria District,Teso
FxdgLy07xN4,Morungatuny HC III,gDG5yDZ6hiy,Morungatuny Subcounty,TM6ccNxawqy,Amuria District,Teso
a8uXeqmtFD9,Ogolokwara (Ajaki) HC II,fu6SGxjqBEm,Apeduru Subcounty,TM6ccNxawqy,Amuria District,Teso
dmsWl4MpI5p,Olwa HC II,gDG5yDZ6hiy,Morungatuny Subcounty,TM6ccNxawqy,Amuria District,Teso
l5C1tkKf11K,Ongutoi HC III,YjjiR3pf7GD,Abarilela Subcounty,TM6ccNxawqy,Amuria District,Teso
WmoemTft5Bj,Orungo HC III,PNnzRWEmz8V,Orungo Subcounty,TM6ccNxawqy,Amuria District,Teso
jcEuyATQbMK,St. Claire Orungo HC III,p1iOb5SBsBd,Ogolai Subcounty,TM6ccNxawqy,Amuria District,Teso
AECp7SuwokS,St. Michael-Wera HC III,LyX5VLc9Eyz,Wera Subcounty,TM6ccNxawqy,Amuria District,Teso
a4Cp1oW19Lo,Wera HC III,LyX5VLc9Eyz,Wera Subcounty,TM6ccNxawqy,Amuria District,Teso
UJ0t5BYVpBM,Amuru HC II,YG7bSJaIniu,Amuru Town Council,C0RSe3EWBqU,Amuru District,Acholi
aFgrVHVDqoZ,Amuru Lacor HC III,acwO6ZCWJj7,Amuru Subcounty,C0RSe3EWBqU,Amuru District,Acholi
aqCLIBUuDgw,Amuru Prison HC II,acwO6ZCWJj7,Amuru Subcounty,C0RSe3EWBqU,Amuru District,Acholi
VomjjgKAFjr,Apaa HC II,EgcvIoAN7Ti,Pabbo Subcounty,C0RSe3EWBqU,Amuru District,Acholi
i5CDWEBfo9n,Atiak HC IV,lkPGXsMpP8M,Atiak Town Council,C0RSe3EWBqU,Amuru District,Acholi
XdXAfIaLuld,Awer HC II,COaxzbRhsBA,Lamogi Subcounty,C0RSe3EWBqU,Amuru District,Acholi
N00TPmBoIls,Bibia HC III,nU9ascOQzge,Elegu Town Council,C0RSe3EWBqU,Amuru District,Acholi
UDIcZADBS92,Bira HC II,EgcvIoAN7Ti,Pabbo Subcounty,C0RSe3EWBqU,Amuru District,Acholi
l25J2D2A6R3,Guruguru HC II,tunpJ39KaWx,Guruguru Subcounty,C0RSe3EWBqU,Amuru District,Acholi
am0vQYNJohR,Jengari HC II,EgcvIoAN7Ti,Pabbo Subcounty,C0RSe3EWBqU,Amuru District,Acholi
jWmjHpZqNtY,Kaladima HC III,COaxzbRhsBA,Lamogi Subcounty,C0RSe3EWBqU,Amuru District,Acholi
u7JAnlZqo5D,Kaladima Prison Clinic,COaxzbRhsBA,Lamogi Subcounty,C0RSe3EWBqU,Amuru District,Acholi
AJxamlmKn2x,Keyo HC II,COaxzbRhsBA,Lamogi Subcounty,C0RSe3EWBqU,Amuru District,Acholi
UZYxp87I4oX,Keyo Medical Centre HC II,COaxzbRhsBA,Lamogi Subcounty,C0RSe3EWBqU,Amuru District,Acholi
Tvayfd3cIU2,Labongogali HC III,acwO6ZCWJj7,Amuru Subcounty,C0RSe3EWBqU,Amuru District,Acholi
